No,Product Type,Color Palette Name,Primary Color,Secondary Color,Accent Color,Success Color,Warning Color,Error Color,Background Color,Text Color,Contrast Ratio (AA),Contrast Ratio (AAA),Accessibility Note,Vibe
57,Senior Care,Calm Dignity,#0EA5E9 (Blue),#38BDF8 (Light Blue),#10B981 (Green),#15803D (Green),#FACC15 (Yellow),#BE123C (Rose),#F0F9FF (Light),#082F49 (Dark),4.5+,7+,Accessibility first,Safe
58,Medical Clinic,Sterile Trust,#0077B6 (Blue),#00B4D8 (Light Blue),#10B981 (Green),#008800 (Green),#F59E0B (Amber),#CC0000 (Red),#FFFFFF (White),#003049 (Navy),7+,21+,Clinical accuracy,Professional
59,Pharmacy/Drug Store,Health Green,#16A34A (Green),#22C55E (Light Green),#2563EB (Blue),#15803D (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Medical reliability,Safe
60,Dental Practice,Fresh Smile,#0EA5E9 (Blue),#7DD3FC (Light Blue),#FACC15 (Yellow),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#F0F9FF (Light),#0C4A6E (Dark),4.5+,7+,Cleanliness feel,Fresh
61,Veterinary Clinic,Pet Caring,#3B82F6 (Blue),#60A5FA (Light Blue),#F97316 (Orange),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#F0F9FF (Light),#1E1B4B (Dark),4.5+,7+,Friendly & caring,Safe
62,Florist/Plant Shop,Garden Growth,#15803D (Green),#16A34A (Light Green),#EC4899 (Pink),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#F0FDF4 (Light),#064E3B (Dark),4.5+,7+,Natural & fresh,Lively
63,Bakery/Cafe,Tasty Crust,#8B4513 (Brown),#A16207 (Tan),#F59E0B (Amber),#16A34A (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFF7ED (Cream),#431407 (Dark Brown),4.5+,7+,Warm & appetizing,Friendly
64,Brewery/Winery,Artisan Craft,#78350F (Brown),#92400E (Amber),#FFD700 (Gold),#16A34A (Green),#F59E0B (Yellow),#DC2626 (Red),#1A1A1A (Dark),#FDFDFD (Off-White),4.5+,7+,Quality & heritage,Sophisticated
65,Airline,Cloud Travel,#003366 (Navy),#0066CC (Blue),#FFFFFF (White),#16A34A (Green),#FBBF24 (Yellow),#EF4444 (Red),#F0F9FF (Light Blue),#003366 (Navy),7+,21+,Professional flight,Reliable
66,News/Media,Classic Read,#111827 (Black),#374151 (Grey),#DC2626 (Red),#16A34A (Green),#F59E0B (Amber),#991B1B (Dark Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Readability focus,Authoritative
67,Magazine/Blog,Editorial Flow,#000000 (Black),#4B5563 (Grey),#6366F1 (Indigo),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Typography focus,Artistic
68,Freelancer Platform,Professional Gig,#2563EB (Blue),#4F46E5 (Indigo),#10B981 (Green),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Trust & energy,Professional
69,Marketing Agency,Creative Bold,#000000 (Black),#FFFFFF (White),#F43F5E (Rose),#10B981 (Green),#FACC15 (Yellow),#EF4444 (Red),#FFFFFF (White),#000000 (Black),7+,21+,Visual impact,Artistic
70,Event Management,Energy Peak,#8B5CF6 (Violet),#EC4899 (Pink),#FACC15 (Yellow),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Celebratory energy,Exciting
71,Membership/Comm,Community Heart,#2563EB (Blue),#60A5FA (Light Blue),#EC4899 (Pink),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Inclusivity,Friendly
72,Newsletter,Direct Inbox,#111827 (Black),#374151 (Grey),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Content focus,Reliable
73,Digital Products,Tech Gear,#6366F1 (Indigo),#818CF8 (Light Indigo),#FACC15 (Yellow),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#F9FAFB (Light),#111827 (Dark),4.5+,7+,Download focus,Professional
74,Church/Religious,Warm Faith,#D4AF37 (Gold),#B45309 (Amber),#1E3A8A (Navy),#15803D (Green),#D97706 (Orange),#B91C1C (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Welcoming & sacred,Peaceful
75,Sports Team,Victory Spirit,#EF4444 (Team Red),#111827 (Black),#FFD700 (Gold),#22C55E (Green),#FBBF24 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Energetic competition,Exciting
76,Museum/Gallery,Curation White,#F5F5F5 (Off-White),#D1D5DB (Grey),#111827 (Black),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Zero distraction,Sophisticated
77,Theater/Cinema,Stage Dramatic,#000000 (Black),#1A1A1A (Dark),#D4AF37 (Gold),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#000000 (Black),#FFFFFF (White),7+,21+,Dramatic contrast,Exciting
78,Language Learning,Global Play,#3B82F6 (Blue),#60A5FA (Light Blue),#22C55E (Success),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Educational engagement,Playful
79,Coding Bootcamp,Dev Console,#121212 (Dark),#1DB954 (Green),#6366F1 (Indigo),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#121212 (Dark),#FFFFFF (White),7+,21+,Technical focus,Modern
80,Cybersecurity,Safe Matrix,#0D0D0D (Black),#00FF00 (Neon Green),#0080FF (Blue),#00FF00 (Green),#FFA500 (Orange),#FF0000 (Red),#0D0D0D (Black),#00FF00 (Green),7+,21+,Security visual,Futuristic
81,Developer Tool,Syntax Focus,#1A1B26 (Tokyo Night),#24283B (Slate),#7AA2F7 (Blue),#9ECE6A (Green),#E0AF68 (Orange),#F7768E (Red),#1A1B26 (Dark),#A9B1D6 (Light),4.5+,7+,Code readability,Professional
82,Biotech/Science,Clean Lab,#FFFFFF (White),#E2E8F0 (Light Slate),#0EA5E9 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#0F172A (Dark Blue),4.5+,7+,Sterile & precise,Functional
83,Space Tech,Orbital Deep,#020617 (Midnight),#1E293B (Slate),#38BDF8 (Cyan),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#020617 (Midnight),#F8FAFC (Light),7+,21+,High-tech precision,Futuristic
84,Architecture,Form & Void,#000000 (Black),#FFFFFF (White),#D4AF37 (Gold),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#000000 (Black),7+,21+,Structural clarity,Elegant
85,Quantum Computing,Entanglement,#000000 (Black),#111111 (Dark),#00FFFF (Cyan),#00FF00 (Green),#FFFF00 (Yellow),#FF00FF (Magenta),#000000 (Black),#00FFFF (Cyan),7+,21+,Complexity visualization,Futuristic
86,Biohacking,Biological Pulse,#000000 (Black),#FF4D4D (Biological Red),#00D1FF (Tech Blue),#22C55E (Green),#FFB800 (Yellow),#FF0000 (Red),#000000 (Black),#FFFFFF (White),7+,21+,Personal data privacy,Intelligent
87,Autonomous Drone,Tactical View,#0D0D0D (Black),#1A1A1A (Dark),#33FF00 (Tactical Green),#00FF00 (Green),#FF0000 (Alert),#FF0000 (Red),#0D0D0D (Black),#33FF00 (Green),7+,21+,Precision telemetry,Authoritative
88,Generative Art,Canvas Neutral,#FFFFFF (White),#F3F4F6 (Grey),#000000 (Black),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#000000 (Black),7+,21+,Content focus,Artistic
89,Spatial Computing,Frosted Depth,rgba(255 255 255 / 0.1),rgba(0 0 0 / 0.5),#FFFFFF (White),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),transparent,rgba(255 255 255 / 0.9),4.5+,7+,Depth hierarchy,Futuristic
90,Sustainable Energy,Earth Green,#15803D (Green),#F0FDF4 (Light Green),#0EA5E9 (Blue),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#064E3B (Dark Green),4.5+,7+,Low-carbon feel,Safe
91,Personal Finance,Wallet Blue,#2563EB (Blue),#3B82F6 (Light Blue),#10B981 (Success),#16A34A (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark Grey),4.5+,7+,Financial stability,Professional
92,Chat & Messaging,Bubble Social,#1D9BF0 (Blue),#EFF3F4 (Light Grey),#00BA7C (Green),#22C55E (Green),#FFD400 (Yellow),#F4212E (Red),#FFFFFF (White),#0F1419 (Dark Blue),4.5+,7+,Conversation flow,Connected
93,Notes & Writing,Editor Calm,#111827 (Black),#F9FAFB (Light Grey),#2563EB (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Distraction-free,Peaceful
94,Habit Tracker,Streak Amber,#F59E0B (Amber),#FBBF24 (Yellow),#10B981 (Green),#22C55E (Green),#F97316 (Orange),#EF4444 (Red),#FFFBEB (Light Cream),#451A03 (Dark Brown),4.5+,7+,Motivational consistency,Friendly
95,Food Delivery,Appetite Red,#EA580C (Orange),#F97316 (Light Orange),#2563EB (Blue),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Freshness & speed,Appetizing
96,Ride Hailing,Motion Black,#000000 (Black),#1F2937 (Grey),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),7+,21+,Action focus,Reliable
97,Recipe & Cooking,Chef Terracotta,#C2410C (Terracotta),#EA580C (Orange),#15803D (Green),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFF7ED (Cream),#431407 (Dark Brown),4.5+,7+,Organic & warm,Appetizing
98,Meditation,Zen Pastel,#818CF8 (Lavender),#A5B4FC (Light Lavender),#34D399 (Mint),#10B981 (Green),#FDE68A (Soft Yellow),#FDA4AF (Soft Red),#F8FAFC (White),#1E1B4B (Deep Purple),4.5+,7+,Calming focus,Peaceful
99,Weather App,Atmosphere Gradient,#0EA5E9 (Sky Blue),#38BDF8 (Light Blue),#FACC15 (Sun Yellow),#22C55E (Green),#F97316 (Orange),#DC2626 (Red),#F0F9FF (Light),#0C4A6E (Dark),4.5+,7+,Clear utility,Fresh
100,Diary & Journal,Reflection Paper,#78350F (Warm Brown),#A16207 (Tan),#EC4899 (Pink),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FDFBF7 (Cream Paper),#431407 (Ink Black),4.5+,7+,Personal warmth,Peaceful
101,CRM & Client,Sales Pipeline,#1E3A8A (Navy),#3B82F6 (Blue),#10B981 (Won),#059669 (Emerald),#D97706 (Amber),#B91C1C (Red),#FFFFFF (White),#0F172A (Slate),4.5+,7+,Business logic,Authoritative
102,Inventory & Stock,Stock Alert,#374151 (Grey),#4B5563 (Light Grey),#EF4444 (Alert Red),#16A34A (Green),#F59E0B (Amber),#DC2626 (Red),#FFFFFF (White),#111827 (Dark),4.5+,7+,Functional accuracy,Reliable
103,Flashcard & Study,Focus Blue,#2563EB (Blue),#60A5FA (Light Blue),#10B981 (Correct),#16A34A (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Concentration focus,Intelligent
104,Booking & Appointment,Reserve Green,#059669 (Emerald),#10B981 (Green),#2563EB (Blue),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Clear availability,Reliable
105,Invoice & Billing,Payment Professional,#111827 (Black),#374151 (Grey),#16A34A (Paid Green),#22C55E (Green),#F59E0B (Amber),#EF4444 (Overdue),#FFFFFF (White),#111827 (Black),4.5+,7+,Financial trust,Professional
106,Grocery & Shopping,Fresh List,#16A34A (Green),#22C55E (Light Green),#FACC15 (Yellow),#15803D (Green),#F97316 (Orange),#DC2626 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Utility & fresh,Friendly
107,Timer & Pomodoro,Focus Red,#DC2626 (Red),#EF4444 (Light Red),#10B981 (Success),#22C55E (Green),#FBBF24 (Yellow),#991B1B (Dark Red),#FFFFFF (White),#111827 (Dark),4.5+,7+,Urgency & focus,Active
108,Parenting & Baby,Caring Pastels,#FBCFE8 (Pink),#BAE6FD (Blue),#A7F3D0 (Green),#10B981 (Green),#FDE68A (Yellow),#FDA4AF (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Soft & safe feel,Cheerful
109,Scanner & Document,Archive Grey,#4B5563 (Grey),#6B7280 (Light Grey),#2563EB (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Dark),4.5+,7+,Efficiency focus,Reliable
110,Calendar & Schedule,Agenda Blue,#2563EB (Blue),#3B82F6 (Light Blue),#10B981 (Success),#16A34A (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Organization focus,Reliable
111,Password Manager,Vault Security,#111827 (Black),#1F2937 (Grey),#10B981 (Safe Green),#22C55E (Green),#F59E0B (Amber),#EF4444 (Breach),#FFFFFF (White),#111827 (Black),7+,21+,Security focus,Reliable
112,Expense Splitter,Settle Up,#10B981 (Green),#22C55E (Light Green),#EF4444 (Owed Red),#16A34A (Green),#F59E0B (Amber),#DC2626 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Financial balance,Friendly
